country,year,category,sumPrice,meanPrice
AFG,2017,cereals and tubers,154.72,0.512317880794702
AFG,2017,non-food,1578.63,4.111015625
AGO,2017,cereals and tubers,123.54,2.57375
AGO,2017,milk and dairy,538.6,44.88333333333333
AGO,2017,miscellaneous food,9.0,4.5
AGO,2017,oil and fats,133.24,8.882666666666667
ARG,2017,cereals and tubers,69.05,0.9206666666666666
ARG,2017,"meat, fish and eggs",12.77,4.256666666666667
ARG,2017,milk and dairy,15.27,1.2725
ARG,2017,miscellaneous food,14.06,1.1716666666666666
ARM,2017,cereals and tubers,208.43,0.7443928571428572
ARM,2017,"meat, fish and eggs",942.1,3.7684
ARM,2017,milk and dairy,239.87,2.3987
ARM,2017,miscellaneous food,45.12,0.9024
ARM,2017,non-food,89.79,0.8162727272727274
ARM,2017,oil and fats,79.37,1.5874
ARM,2017,pulses and nuts,80.07,1.6014
ARM,2017,vegetables and fruits,295.43,0.9847666666666668
BDI,2017,cereals and tubers,2439.42,0.7683212598425198
BDI,2017,"meat, fish and eggs",3272.91,5.211640127388534
BDI,2017,non-food,14.23,1.5811111111111111
BDI,2017,pulses and nuts,400.73,0.7018038528896673
BDI,2017,vegetables and fruits,496.398,0.5230748155953636
BEN,2017,cereals and tubers,19.06,0.7059259259259258
BFA,2017,cereals and tubers,8707.94,4.8350583009439205
BFA,2017,pulses and nuts,474.83,0.5586235294117647
BGD,2017,cereals and tubers,1479.46,9.606883116883116
BGD,2017,oil and fats,44.81,0.9144897959183674
BGD,2017,pulses and nuts,53.13,1.041764705882353
BLR,2017,cereals and tubers,26.4,0.7333333333333334
BOL,2017,cereals and tubers,7936.95,12.00748865355522
BOL,2017,"meat, fish and eggs",3197.841,13.15983950617284
BOL,2017,milk and dairy,41.54,0.7040677966101695
BOL,2017,miscellaneous food,56.21,0.77
BTN,2017,cereals and tubers,266.91,14.047894736842109
CAF,2017,cereals and tubers,150.02,0.4630246913580247
CAF,2017,"meat, fish and eggs",959.21,5.92104938271605
CAF,2017,oil and fats,160.12,1.5396153846153846
CAF,2017,pulses and nuts,134.97,0.828036809815951
CAF,2017,vegetables and fruits,42.26,4.695555555555555
CHN,2017,cereals and tubers,79.32,0.4836585365853658
CIV,2017,cereals and tubers,76.02,0.5242758620689655
CIV,2017,"meat, fish and eggs",282.7,3.53375
CIV,2017,miscellaneous food,14.91,1.3554545454545457
CIV,2017,non-food,0.43,0.43
CIV,2017,oil and fats,15.63,1.420909090909091
CIV,2017,pulses and nuts,22.26,1.011818181818182
CIV,2017,vegetables and fruits,3.99,0.665
CMR,2017,cereals and tubers,7569.89,15.836589958158996
CMR,2017,"meat, fish and eggs",261.12,2.9672727272727273
CMR,2017,oil and fats,56.34,1.0630188679245285
CMR,2017,pulses and nuts,6423.900000000001,40.401886792452835
CMR,2017,vegetables and fruits,1380.26,11.797094017094016
COD,2017,cereals and tubers,210.14,0.6291616766467066
COD,2017,"meat, fish and eggs",606.5,4.097972972972973
COD,2017,miscellaneous food,78.12,0.8979310344827587
COD,2017,non-food,114.16,0.9434710743801652
COD,2017,oil and fats,76.74,1.0808450704225352
COD,2017,pulses and nuts,52.34,0.8871186440677966
COD,2017,vegetables and fruits,38.82,0.9027906976744188
COG,2017,cereals and tubers,266.85,1.0981481481481483
COG,2017,"meat, fish and eggs",987.36,5.089484536082474
COG,2017,oil and fats,181.19,1.4974380165289256
COG,2017,pulses and nuts,270.95,2.1503968253968253
COG,2017,vegetables and fruits,20.01,2.2233333333333336
COL,2017,cereals and tubers,24310.75,108.53013392857144
COL,2017,"meat, fish and eggs",166.777,2.1659350649350646
COL,2017,milk and dairy,22.74,1.42125
COL,2017,miscellaneous food,51.52,0.92
COL,2017,non-food,2391.93,38.57951612903226
COL,2017,oil and fats,23.83,1.489375
COL,2017,pulses and nuts,61.8,1.3733333333333333
COL,2017,vegetables and fruits,243.67,0.6429287598944592
CPV,2017,cereals and tubers,90.53,0.8875490196078432
DJI,2017,cereals and tubers,594.61,2.4171138211382113
DJI,2017,miscellaneous food,29.9,0.8081081081081081
DJI,2017,non-food,28.55,0.8157142857142857
DJI,2017,oil and fats,54.37,1.4694594594594594
DJI,2017,pulses and nuts,35.79,1.154516129032258
DOM,2017,cereals and tubers,831.27,15.985961538461538
DOM,2017,"meat, fish and eggs",12.41,1.034166666666667
DOM,2017,pulses and nuts,2412.51,40.2085
ECU,2017,cereals and tubers,1118.69,6.619467455621302
EGY,2017,cereals and tubers,14.29,0.3862162162162162
EGY,2017,"meat, fish and eggs",49.318,2.595684210526316
EGY,2017,milk and dairy,12.97,0.8646666666666667
EGY,2017,miscellaneous food,6.94,0.7711111111111112
EGY,2017,oil and fats,95.47,2.5802702702702702
EGY,2017,pulses and nuts,21.34,1.123157894736842
EGY,2017,vegetables and fruits,20.77,0.6923333333333334
ETH,2017,cereals and tubers,12528.59,34.32490410958904
ETH,2017,"meat, fish and eggs",1007.73,40.3092
ETH,2017,milk and dairy,22.54,1.5026666666666666
ETH,2017,miscellaneous food,17.16,1.144
ETH,2017,non-food,22.75,0.8125
GAB,2017,cereals and tubers,23.8,1.3222222222222222
GAB,2017,vegetables and fruits,6.58,1.096666666666667
GHA,2017,cereals and tubers,26904.59,50.38312734082397
GHA,2017,vegetables and fruits,435.68,6.407058823529412
GIN,2017,cereals and tubers,265.09000000000003,0.6814652956298202
GIN,2017,"meat, fish and eggs",382.02,2.872330827067669
GIN,2017,miscellaneous food,67.57000000000001,0.6497115384615385
GIN,2017,oil and fats,150.29,1.27364406779661
GIN,2017,pulses and nuts,87.08,0.8795959595959596
GIN,2017,vegetables and fruits,76.94,1.3498245614035087
GMB,2017,cereals and tubers,587.55,0.7907806191117093
GMB,2017,"meat, fish and eggs",1046.26,2.767883597883598
