Entity,Code,Year,"Inflation, consumer prices (annual %)"
Afghanistan,AFG,2017,4.9759517
Afghanistan,AFG,2018,0.6261492
Afghanistan,AFG,2019,2.3023725
Afghanistan,AFG,2020,5.6018877
Afghanistan,AFG,2021,5.1332035
Afghanistan,AFG,2022,13.712102
Albania,ALB,2017,1.9866613
Albania,ALB,2018,2.0280597
Albania,ALB,2019,1.4110907
Albania,ALB,2020,1.6208866
Albania,ALB,2021,2.0414717
Albania,ALB,2022,6.7252026
Algeria,DZA,2017,5.591116
Algeria,DZA,2018,4.26999
Algeria,DZA,2019,1.9517682
Algeria,DZA,2020,2.4151309
Algeria,DZA,2021,7.2260633
Algeria,DZA,2022,9.265515
Angola,AGO,2017,29.84448
Angola,AGO,2018,19.628939
Angola,AGO,2019,17.080954
Angola,AGO,2020,22.27154
Angola,AGO,2021,25.754295
Angola,AGO,2022,21.35529
Antigua and Barbuda,ATG,2017,2.432488
Antigua and Barbuda,ATG,2018,1.207158
Antigua and Barbuda,ATG,2019,1.431356
Antigua and Barbuda,ATG,2020,0.62598974
Antigua and Barbuda,ATG,2021,2.0629964
Antigua and Barbuda,ATG,2022,7.5310783
Armenia,ARM,2017,0.9695533
Armenia,ARM,2018,2.5202339
Armenia,ARM,2019,1.4434466
Armenia,ARM,2020,1.2114358
Armenia,ARM,2021,7.1848364
Armenia,ARM,2022,8.640911
Aruba,ABW,2017,-1.0282818
Aruba,ABW,2018,3.6260414
Aruba,ABW,2019,4.257462
Australia,AUS,2017,1.9486474
Australia,AUS,2018,1.9114009
Australia,AUS,2019,1.6107678
Australia,AUS,2020,0.8469055
Australia,AUS,2021,2.8639104
Australia,AUS,2022,6.5940967
Austria,AUT,2017,2.081269
Austria,AUT,2018,1.9983798
Austria,AUT,2019,1.5308956
Austria,AUT,2020,1.3819107
Austria,AUT,2021,2.7666667
Austria,AUT,2022,8.54687
Azerbaijan,AZE,2017,12.935919
Azerbaijan,AZE,2018,2.2685468
Azerbaijan,AZE,2019,2.6105719
Azerbaijan,AZE,2020,2.7598095
Azerbaijan,AZE,2021,6.650299
Azerbaijan,AZE,2022,13.852259
Bahamas,BHS,2017,1.518207
Bahamas,BHS,2018,2.2658634
Bahamas,BHS,2019,2.4912353
Bahamas,BHS,2020,0.0385211
Bahamas,BHS,2021,2.9049127
Bahamas,BHS,2022,5.6054063
Bahrain,BHR,2017,1.3867183
Bahrain,BHR,2018,2.0876694
Bahrain,BHR,2019,1.00582
Bahrain,BHR,2020,-2.3177063
Bahrain,BHR,2021,-0.60631937
Bahrain,BHR,2022,3.625741
Bangladesh,BGD,2017,5.70207
Bangladesh,BGD,2018,5.5436215
Bangladesh,BGD,2019,5.591996
Bangladesh,BGD,2020,5.691075
Bangladesh,BGD,2021,5.5456543
Bangladesh,BGD,2022,7.6969543
Barbados,BRB,2017,4.660185
