country,category,usdprice
AFG,cereals and tubers,1039.49
AFG,miscellaneous food,220.678
AFG,non-food,4320.47
AFG,oil and fats,361.69
AFG,pulses and nuts,328.82
AGO,cereals and tubers,56.61
AGO,milk and dairy,246.20000000000002
AGO,miscellaneous food,10.6
AGO,oil and fats,68.04
ARG,cereals and tubers,50.52
ARG,"meat, fish and eggs",6.7
ARG,milk and dairy,9.57
ARG,miscellaneous food,10.75
ARM,cereals and tubers,946.27
ARM,"meat, fish and eggs",2449.165
ARM,milk and dairy,686.97
ARM,miscellaneous food,407.43
ARM,non-food,185.7
ARM,oil and fats,197.81
ARM,pulses and nuts,691.64
ARM,vegetables and fruits,712.82
BDI,cereals and tubers,1658.689
BDI,"meat, fish and eggs",6119.74
BDI,miscellaneous food,243.18
BDI,non-food,1185.1
BDI,oil and fats,1006.32
BDI,pulses and nuts,408.06
BDI,vegetables and fruits,556.381
BEN,cereals and tubers,3428.329
BEN,"meat, fish and eggs",2235.58
BEN,miscellaneous food,106.11
BEN,oil and fats,1251.97
BEN,pulses and nuts,1636.82
BEN,vegetables and fruits,4246.199
BFA,cereals and tubers,8662.07
BFA,pulses and nuts,642.95
BGD,cereals and tubers,1336.71
BGD,oil and fats,207.58
BGD,pulses and nuts,140.66
BLR,cereals and tubers,26.03
BOL,cereals and tubers,6653.34
BOL,"meat, fish and eggs",577.482
BOL,milk and dairy,42.39
BOL,miscellaneous food,74.53
BTN,cereals and tubers,166.45
BTN,miscellaneous food,1.18
BTN,oil and fats,282.66
BTN,pulses and nuts,202.20000000000002
CAF,cereals and tubers,411.788
CAF,"meat, fish and eggs",1371.48
CAF,milk and dairy,82.23
CAF,miscellaneous food,411.6
CAF,non-food,33.3
CAF,oil and fats,393.64
CAF,pulses and nuts,462.3
CAF,vegetables and fruits,26.91
CHN,cereals and tubers,62.45
CIV,cereals and tubers,151.62
CIV,"meat, fish and eggs",547.48
CIV,miscellaneous food,4.05
CIV,non-food,0.49
CIV,oil and fats,23.48
CIV,pulses and nuts,70.95
CIV,vegetables and fruits,3.4699999999999998
CMR,cereals and tubers,20180.72
CMR,"meat, fish and eggs",798.83
CMR,milk and dairy,48.339999999999996
CMR,miscellaneous food,57.54
CMR,non-food,43.36
CMR,oil and fats,1500.22
CMR,pulses and nuts,17082.52
CMR,vegetables and fruits,8178.51
COD,cereals and tubers,1081.5720000000001
COD,"meat, fish and eggs",4996.17
COD,miscellaneous food,623.06
COD,non-food,513.83
COD,oil and fats,629.52
COD,pulses and nuts,578.86
COD,vegetables and fruits,116.89
COG,cereals and tubers,168.94
