country,category,sumPrice,meanPrice
AFG,cereals and tubers,1462.92,0.6062660588479072
AFG,miscellaneous food,333.82,0.40909313725490193
AFG,non-food,5252.09,3.2181924019607844
AFG,oil and fats,686.65,1.6829656862745097
AFG,pulses and nuts,468.2,1.147549019607843
ARG,cereals and tubers,52.3,0.8435483870967742
ARG,"meat, fish and eggs",4.47,4.47
ARG,milk and dairy,10.12,0.8433333333333333
ARG,miscellaneous food,9.3,0.775
ARM,cereals and tubers,1027.93,1.134580573951435
ARM,"meat, fish and eggs",2755.43,4.1748939393939395
ARM,milk and dairy,759.6899999999999,2.1582102272727273
ARM,miscellaneous food,437.34,1.1043939393939393
ARM,non-food,232.39000000000001,0.8802651515151516
ARM,oil and fats,301.52,2.284242424242424
ARM,pulses and nuts,716.18,1.9838781163434902
ARM,vegetables and fruits,768.58,0.8317965367965369
BDI,cereals and tubers,1058.63,0.6025213431986342
BDI,"meat, fish and eggs",3733.43,6.538406304728547
BDI,miscellaneous food,154.87,0.6049609375
BDI,non-food,766.3,1.505500982318271
BDI,oil and fats,711.76,1.64
BDI,pulses and nuts,252.32,0.6801078167115903
BDI,vegetables and fruits,299.26,0.5315452930728242
BEN,cereals and tubers,4688.3774,0.8429301330456671
BEN,"meat, fish and eggs",2723.44,4.262034428794992
BEN,miscellaneous food,141.0,2.35
BEN,oil and fats,1768.67,1.8010896130346232
BEN,pulses and nuts,2162.91,1.0744709388971683
BEN,vegetables and fruits,4975.015,1.4214328571428572
BFA,cereals and tubers,10134.83,4.9293920233463036
BFA,pulses and nuts,796.1,0.7378127896200185
BGD,cereals and tubers,668.41,1.042761310452418
BGD,oil and fats,504.99,1.3575
BGD,pulses and nuts,237.79,0.9145769230769231
BLR,cereals and tubers,26.27,0.7297222222222222
BOL,cereals and tubers,7189.403,10.71446050670641
BOL,"meat, fish and eggs",514.371,2.3065964125560536
BOL,milk and dairy,45.66,0.7024615384615384
BOL,miscellaneous food,41.45,0.6908333333333334
BTN,cereals and tubers,166.92,0.39648456057007125
BTN,miscellaneous food,1.2,0.12
BTN,oil and fats,409.62,2.0481
BTN,pulses and nuts,241.26,1.1488571428571428
CAF,cereals and tubers,420.374,0.6031190817790532
CAF,"meat, fish and eggs",1331.82,5.841315789473684
CAF,miscellaneous food,616.98,1.5011678832116788
CAF,oil and fats,309.79,1.7021428571428572
CAF,pulses and nuts,537.29,1.0292911877394635
CIV,cereals and tubers,153.46,0.6065612648221345
CIV,"meat, fish and eggs",523.93,3.824306569343065
CIV,oil and fats,24.6,1.5375
CIV,pulses and nuts,73.91,1.0409859154929577
CMR,cereals and tubers,17674.68,9.600586637696905
CMR,"meat, fish and eggs",1826.28,3.0590954773869345
CMR,milk and dairy,588.25,4.82172131147541
CMR,miscellaneous food,250.9,0.9724806201550388
CMR,non-food,399.71,5.7101428571428565
CMR,oil and fats,2780.26,6.083719912472648
CMR,pulses and nuts,9745.02,17.156725352112677
CMR,vegetables and fruits,2073.66,5.132821782178217
COD,cereals and tubers,1115.561,0.552531451213472
COD,"meat, fish and eggs",5885.53,4.001040108769544
COD,miscellaneous food,705.27,1.181356783919598
COD,non-food,610.93,1.12097247706422
COD,oil and fats,799.915,1.457040072859745
COD,pulses and nuts,651.76,1.1576554174067495
COD,vegetables and fruits,102.488,0.4083187250996016
COG,cereals and tubers,54.92,0.9985454545454546
COG,oil and fats,39.98,1.8172727272727272
