grouped,year,category,avgmedianPrice
East Asia & Pacific,2017,cereals and tubers,0.9881818181818182
East Asia & Pacific,2017,"meat, fish and eggs",3.3842857142857143
East Asia & Pacific,2017,milk and dairy,1.1033333333333333
East Asia & Pacific,2017,miscellaneous food,1.01625
East Asia & Pacific,2017,non-food,2.4612499999999997
East Asia & Pacific,2017,oil and fats,1.3250000000000002
East Asia & Pacific,2017,pulses and nuts,1.2883333333333333
East Asia & Pacific,2017,vegetables and fruits,1.78625
East Asia & Pacific,2018,cereals and tubers,1.045
East Asia & Pacific,2018,"meat, fish and eggs",3.0614285714285714
East Asia & Pacific,2018,milk and dairy,1.1083333333333334
East Asia & Pacific,2018,miscellaneous food,0.8150000000000001
East Asia & Pacific,2018,non-food,2.48375
East Asia & Pacific,2018,oil and fats,1.4012499999999999
East Asia & Pacific,2018,pulses and nuts,1.1616666666666668
East Asia & Pacific,2018,vegetables and fruits,1.6019999999999999
East Asia & Pacific,2019,cereals and tubers,0.909
East Asia & Pacific,2019,"meat, fish and eggs",3.035833333333333
East Asia & Pacific,2019,milk and dairy,1.1300000000000001
East Asia & Pacific,2019,miscellaneous food,0.8
East Asia & Pacific,2019,non-food,3.4316666666666666
East Asia & Pacific,2019,oil and fats,1.935
East Asia & Pacific,2019,pulses and nuts,1.17
East Asia & Pacific,2019,vegetables and fruits,1.636
East Asia & Pacific,2020,cereals and tubers,0.9949999999999999
East Asia & Pacific,2020,"meat, fish and eggs",2.411875
East Asia & Pacific,2020,milk and dairy,1.1083333333333334
East Asia & Pacific,2020,miscellaneous food,0.8492857142857143
East Asia & Pacific,2020,non-food,3.1574999999999998
East Asia & Pacific,2020,oil and fats,1.7699999999999998
East Asia & Pacific,2020,pulses and nuts,1.495
East Asia & Pacific,2020,vegetables and fruits,1.5007142857142857
East Asia & Pacific,2021,cereals and tubers,0.6544444444444444
East Asia & Pacific,2021,"meat, fish and eggs",3.3406249999999997
East Asia & Pacific,2021,milk and dairy,0.78
East Asia & Pacific,2021,miscellaneous food,1.874285714285714
East Asia & Pacific,2021,non-food,1.0074999999999998
East Asia & Pacific,2021,oil and fats,2.2066666666666666
East Asia & Pacific,2021,pulses and nuts,1.498
East Asia & Pacific,2021,vegetables and fruits,1.4114285714285713
East Asia & Pacific,2022,cereals and tubers,0.6344444444444445
East Asia & Pacific,2022,"meat, fish and eggs",2.734375
East Asia & Pacific,2022,milk and dairy,0.985
East Asia & Pacific,2022,miscellaneous food,1.6708333333333334
East Asia & Pacific,2022,non-food,1.385
East Asia & Pacific,2022,oil and fats,3.0829999999999997
East Asia & Pacific,2022,pulses and nuts,1.682
East Asia & Pacific,2022,vegetables and fruits,1.5135714285714286
East Asia & Pacific,2023,cereals and tubers,0.81
East Asia & Pacific,2023,"meat, fish and eggs",2.615
East Asia & Pacific,2023,milk and dairy,0.46
East Asia & Pacific,2023,miscellaneous food,0.634
East Asia & Pacific,2023,non-food,1.215
East Asia & Pacific,2023,oil and fats,2.7779999999999996
East Asia & Pacific,2023,pulses and nuts,2.03625
East Asia & Pacific,2023,vegetables and fruits,1.68
East Asia & Pacific,2024,cereals and tubers,0.8866666666666667
East Asia & Pacific,2024,"meat, fish and eggs",2.7291666666666665
East Asia & Pacific,2024,milk and dairy,0.44
East Asia & Pacific,2024,miscellaneous food,0.821
East Asia & Pacific,2024,non-food,1.1800000000000002
East Asia & Pacific,2024,oil and fats,2.98
East Asia & Pacific,2024,pulses and nuts,2.34125
East Asia & Pacific,2024,vegetables and fruits,1.8150000000000002
East Asia & Pacific,2025,cereals and tubers,0.8480000000000001
East Asia & Pacific,2025,"meat, fish and eggs",2.677
East Asia & Pacific,2025,milk and dairy,0.4
East Asia & Pacific,2025,miscellaneous food,0.84
East Asia & Pacific,2025,non-food,1.125
