Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1215.96839781734,1259.19723166839,1275.9377877449,1225.03757949818,1257.89702625553,..,..,..
Africa Western and Central,AFW,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Albania,ALB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3494.11672971086,3641.50475207024,3687.79928516457,3590.79503027181,4032.70760329282,..,..,..
Algeria,DZA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3389.31122801473,3319.20161789197,3262.79288043261,3010.43021804382,3069.11684084129,..,..,..
American Samoa,ASM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Andorra,AND,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Angola,AGO,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1951.12762105243,1944.87450820471,2185.08075242292,2067.3724997297,1976.96354143953,..,..,..
Antigua and Barbuda,ATG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Arab World,ARB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5233.28953249871,5423.88559669082,5391.37493013755,4810.80817562161,..,..,..,..
Argentina,ARG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,11879.0693559856,11121.1269414726,10479.7912467694,9611.85620718382,10783.6247628366,..,..,..
Armenia,ARM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3455.01425778475,3610.46859551901,3826.67504036468,3479.14106373497,3561.77494444442,..,..,..
Aruba,ABW,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Australia,AUS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Austria,AUT,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36605.9921345216,37151.795212545,37541.0904975117,34966.0123230627,36086.3851625904,..,..,..
Azerbaijan,AZE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,28135.8287655735,27492.5393358396,27916.5666287262,20486.6188881455,23262.2950929492,..,..,..
Bahrain,BHR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,17386.4379684025,16952.4131042387,17465.7521521455,16092.99177695,..,..,..,..
Bangladesh,BGD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1311.67139098208,1419.81175600293,1610.01300804304,1663.21884231979,1771.81143581888,..,..,..
Barbados,BRB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Belarus,BLR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4737.91448249422,5039.78516832697,5194.54723109836,5130.6448828571,5335.77303585565,..,..,..
Belgium,BEL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,34474.6207131128,34611.2528292669,35407.2550277623,32892.2105432301,34702.9604780198,..,..,..
Belize,BLZ,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4704.32598880073,4547.150582757,4691.41390387695,4119.48320750837,4618.89596596544,..,..,..
Benin,BEN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,919.017165408261,949.500172494671,997.515790559392,997.897692702529,1053.04492566552,..,..,..
Bermuda,BMU,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Bhutan,BTN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2430.95183104814,2500.97357697122,2745.59357105608,2602.22813998158,2594.02662385219,..,..,..
Bolivia,BOL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2703.56463623851,2780.80321335978,2818.97827017251,2560.5776707491,2512.77692189395,..,..,..
